label	sentence_A_ja	sentence_B_ja	source_sentence_en
0	なぜ あなた は 来 て い ます か ？	なぜ 来る の ？	Why are you coming ?
1	私 は 他 の 何 か を し なけれ ば なり ませ ん 。	何 か 別 の こと を し なけれ ば なら ない 。	I have to do something else .
1	私 の 父 は 非常 に 強い 男 でし た 。	父 は とても 強い 男 だっ た 。	My father was a very strong man .
0	作者 として の 私 の 目標 の 一つ は 、 人間 性 の さまざま な 側面 を 探る こと です 。	著者 として の 私 の 目標 の 1 つ は 、 人間 性 の さまざま な 側面 を 探究 する こと です 。	One of my goals as an author is to explore various aspects of human nature .
0	「 カンフーパンダ 」 は 、 批評 家 の 称賛 を 受け まし た 。	カンフーパンダ  は 批判 的 な 評価 を 受け まし た 。	Kung Fu Panda  received critical acclaim .
1	一つ の 要因 は 、 連邦 政府 によって 開発 さ れ た 新 ガイドライン による もの です 。	1 つ の 要因 は 、 連邦 政府 が 策定 し た 新しい ガイドライン による もの です 。	One factor is due to the new guidelines developed by the federal government .
1	一つ は 、 トレーニング 中 の 事故 で 失わ れ まし た 。	1 つ は 訓練 事故 で 失わ れ まし た 。	One was lost in a training accident .
0	だから 、 一 人 当たり の リビング エリア の サイズ が あり ませ ん 。	1 人 あたり の リビング エリア の 大き さ も 同じ です 。	So does the size of the living area per person .
1	17 世紀 に 新しい 教会 は 、 住民 を 犠牲 に し て 造ら れ まし た 。	17 世紀 に は 、 住民 を 犠牲 に し て 新しい 教会 が 建設 さ れ まし た 。	In the 17th century a new church was built at the expense of the inhabitants .
1	奴隷 制度 は 19 世紀 の 前半 に 廃止 さ れ まし た 。	19 世紀 前半 に 奴隷 制度 が 廃止 さ れ まし た 。	Slavery was abolished in the first half of the 19th century .
0	1945 年 2 月 に は ソ連 赤軍 は 、 市内 に 近づき まし た 。	1945 年 2 月 、 ソビエト 赤軍 が 町 に 近づい た 。	In February 1945 the Soviet Red Army approached the city .
1	1961 年 から 彼 の 死 まで 、 彼 は ソビエト 連邦 共産党 中央 委員 会 の メンバー でし た 。	1961 年 から 死ぬ まで 、 彼 は ソビエト 連邦 共産党 中央 委員 会 の メンバー だっ た 。	From 1961 until his death , he was a member of the Central Committee of the Communist Party of the Soviet Union .
